"name","mode","type"
"D_907590067_1_1.D_206625031_1_1","NULLABLE","STRING"
"D_907590067_1_1.D_261863326_1_1","NULLABLE","STRING"
"D_907590067_1_1.D_206625031_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1","NULLABLE","STRING"
"D_907590067_1_1.D_261863326_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1","NULLABLE","STRING"
"D_578895128_2_2.D_578895128_2_2","REPEATED","STRING"
"D_578895128_2_2.D_957429734_2_2","NULLABLE","STRING"
"D_578895128_2_2.D_957429734_2","NULLABLE","STRING"
"D_216840563_2_2.D_206625031_2_2","NULLABLE","STRING"
"D_216840563_2_2.D_261863326_2_2","NULLABLE","STRING"
"D_216840563_2_2.D_206625031_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2","NULLABLE","STRING"
"D_869387390_5_5.D_478706011_5_5","NULLABLE","STRING"
"D_869387390_5_5.D_869387390_5_5","REPEATED","STRING"
"D_869387390_5_5.D_478706011_5","NULLABLE","STRING"
"D_869387390_6_6.D_478706011_6_6","NULLABLE","STRING"
"D_869387390_6_6.D_869387390_6_6","REPEATED","STRING"
"D_869387390_6_6.D_478706011_6","NULLABLE","STRING"
"D_929240175.D_261863326","NULLABLE","STRING"
"D_929240175.D_206625031","NULLABLE","STRING"
"D_374697037.D_206625031","NULLABLE","STRING"
"D_374697037.D_261863326","NULLABLE","STRING"
"D_467061940.D_206625031","NULLABLE","STRING"
"D_467061940.D_261863326","NULLABLE","STRING"
"D_178353079.D_802622485","NULLABLE","STRING"
"D_178353079.D_206625031","NULLABLE","STRING"
"D_178353079.D_623218391","NULLABLE","STRING"
"D_178353079.D_261863326","NULLABLE","STRING"
"D_550075233.D_623218391","NULLABLE","STRING"
"D_550075233.D_206625031","NULLABLE","STRING"
"D_550075233.D_261863326","NULLABLE","STRING"
"D_550075233.D_802622485","NULLABLE","STRING"
